CP Name,Wildlife/Ecosystem Connectivity ,Aquatic Habitat ,Terrestrial Habitat,Water Quality ,Wetands Conservation,Streambank and Shoreline condition ,Biodiversity ,Riparian Condition,Notes,Network Diagram 
CP #382 | Fence  | (Feet),,x,x,x,nm,,,x, ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Fence_382_NHCP_NED_2021.pdf
CP #580 | Streambank and Shoreline Protection  | (Feet),x,x,x,x,,x,x,x,"Increased land values, reduced land loss",https://www.nrcs.usda.gov/sites/default/files/2022-10/Streambank_Shoreline_Protection_580_Network_Diagram_10_2020.pdf
CP #561 | Heavy Use Area Protection  | (Sq. Ft.),,x,,x,,,,,Livestock health  to increased net return ; combined with nutrient management or waste storage facility can reduce cost of fertilizer ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Heavy_Use_Area_Protection_561_Network_Diagram_9_2020.pdf
CP #516 | Livestock Pipeline  | (Feet),,,nm,x,,,,,Water conveyence lowers cost for farmer (long term),https://www.nrcs.usda.gov/sites/default/files/2022-09/Livestock_Pipeline_516_NHCP_NED_2020.pdf
CP #528 | Prescribed Grazing (IRA) | (Acres),,x,x,x,,x,,x,less equipment time and labor - more net return to producer? ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Prescribed_Grazing_528_ND.pdf
CP #340 | Cover Crop (IRA) | (Acres),,nm,x,x,,,x,,Increased net income from provdied livestock feed as well as increased plant production ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Cover_Crop_340_Network_Diagram.pdf
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),x,nm,x,x,,nm,nm,nm,Riparain condition and shoreline condition would improve if this practice is put on streambanks. Biodiversity would improve with correct plantings. Economic benefits include reduced associated costs for human and animal health as well as acess to wood and other forest products. Not explicitly mentioned. ,https://www.nrcs.usda.gov/sites/default/files/2022-10/Tree-Shrub-Establishment-612-ND.pdf
CP #314 | Brush Management  | (Acres),,x,x,x,x,,,x, ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Brush_Management_314_Network_Diagram.pdf
CP #356 | Dike and Levee  | (Feet),x,,,x,,,nm,,"Temporary flooded habitat provides seasonal shallow water habitat, thus increasing biodiversity - but, they also reduce wetland habitat, which lowers biodiversity. I don't really want to include this one in any table. They claim many more benefits, but it's conflicting - just look at the diagram. ",https://www.nrcs.usda.gov/sites/default/files/2022-09/Dike_and_Levee_356_NHCP_NED_2022.pdf
CP #315 | Herbaceous Weed Treatment  | (Acres),,x,x,x,nm,,x,,Increased livestock production and reduced feed costs from improved forage quality and quantity. IF performed in wetlands provides weltands conservation. ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Herbaceous_Weed_Treatment_315_Network_Diagram_10_2020.pdf
CP #329 | Residue and Tillage Mgmt (No Till) (IRA) | (Acres),,, ,x,,,,,Increased net return due to enterprise diversity and improved crop production ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Residue_And_Tillage_Management_No_Till_329_ND_Sep_2016_0.pdf
CP #490 | Tree/Shrub Site Preparation  | (Acres),,,,,,,,,,
CP #345 | Residue and Tillage Mgmt (Reduced Till) (IRA) | (Acres),,,,x,,,,,Increased net return due to enterprise diversity and improved crop production ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Residue_And_Tillage_Management_Reduced_Till_345_ND.pdf
CP #666 | Forest Stand Improvement (IRA) | (Acres),,,,,,,,,,
CP #362 | Diversion  | (Feet),,,,,,,,,,
CP #338 | Prescribed Burning (IRA) | (Acres),,,,,,,,,,
CP #328 | Conservation Crop Rotation (IRA) | (Acres),, ,x,x,,,,,"Increased farmer income from reduced pests populations, increased rotation intensity, livestock feed, healthy crops, and reduced ""saline seeps"" ",https://www.nrcs.usda.gov/sites/default/files/2022-09/Conservation_Crop_Rotation_328_Network_Diagram.pdf
CP #468 | Lined waterway or outlet  | (Feet),,,,,,,,,,
CP #420 | Wildlife Habitat Planting (IRA) | (Acres),x,x,x,x,,,x,,Climate resiliency due to increased connectivity ,https://www.nrcs.usda.gov/sites/default/files/2022-10/Wildlife_Habitat_Planting_420_NHCP_NED_2018.pdf
