Conservation Practice,Sheet and Rill Erosion,Wind Erosion,Ephemeral Gully Erosion,Classic Gully Erosion,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",Subsidence,Compaction,Organic Matter Depletion,Concentration of Salts or other Chemicals,Soil Organism Habitat Loss or Degradation,Aggregate Instability,Ponding and Flooding,Seasonal High Water Table,Seeps,Drifted Snow,Naturally Available Moisture Use,Surface Water Depletion,Groundwater Depletion,Inefficient Irrigation Water Use,Nutrients Transported to Surface Water,Nutrients Transported to Groundwater,Pathogens and Chemicals from Manure\, Bio-solids or Compost Applications Transported to Surface Water,Pathogens and Chemicals from Manure\, Bio-solids or Compost Applications Transported to Groundwater,Sediment Transported to Surface Water,Pesticides Transported to Surface Water,Pesticides Transported to Groundwater,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water","Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",Salts Transported to Surface Water,Salts Transported to Groundwater,Elevated water temperature,Emissions of Particulate Matter (PM) and PM Precursors,Emissions of Greenhouse Gasses - GHGs,Emissions of Ozone Precursors,Objectionable Odor,Emissions of Airborne Reactive Nitrogen,Plant Pest Pressure,Plant Productivity and Health,Plant Structure and Composition,Wildfire Hazard from Biomass Accumulation,Feed and Forage Imbalance,Inadequate Livestock Shelter,"Inadequate Livestock Water Quantity, Quality and Distribution",Terrestrial Habitat for Wildlife and Invertebrates,Aquatic Habitat for Fish and other Organisms,Energy Efficiency of Equipment and Facilities,Energy Efficiency of Farming/Ranching Practices and Field Operations
CP #382 | Fence  | (Feet),1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,3,0,0,1,1,0,0
CP #580 | Streambank and Shoreline Protection  | (Feet),0,0,0,0,4,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,4,4,4,0,1,0,0,2,2,0,0
CP #561 | Heavy Use Area Protection  | (Sq. Ft.),2,2,2,2,0,0,1,0,0,-2,1,-1,0,0,0,0,1,-1,0,1,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CP #516 | Livestock Pipeline  | (Feet),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,0,3,0
CP #528 | Prescribed Grazing (IRA) | (Acres),4,4,3,1,3,0,2,4,2,2,2,2,0,0,0,2,1,1,0,1,1,1,1,2,2,1,0,0,2,1,1,2,2,0,1,0,2,5,4,3,5,2,2,2,1,0,2
CP #340 | Cover Crop (IRA) | (Acres),4,4,3,0,0,0,2,2,0,2,2,1,1,1,1,2,0,0,1,2,1,1,1,2,2,1,0,0,0,0,0,3,2,0,0,1,4,2,1,0,1,0,0,1,0,0,1
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),5,5,4,2,2,0,2,4,1,5,5,0,2,2,1,1,3,0,0,1,1,1,1,3,1,1,1,1,1,1,4,1,4,0,2,0,5,5,5,0,0,2,0,5,4,3,1
CP #314 | Brush Management  | (Acres),3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,1,0,0,0,5,5,5,4,4,0,0,3,0,0,0
CP #356 | Dike and Levee  | (Feet),0,0,0,2,-1,0,0,0,1,0,0,4,-1,-1,0,0,1,1,0,0,-1,1,0,0,2,1,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0
CP #315 | Herbaceous Weed Treatment  | (Acres),4,4,2,1,4,0,0,0,0,1,1,0,0,0,0,0,2,1,2,1,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,5,5,5,4,4,0,0,4,0,0,0
CP #329 | Residue and Tillage Mgmt (No Till) (IRA) | (Acres),5,5,-1,0,0,1,2,3,0,4,4,1,0,0,0,2,0,0,2,2,-1,1,0,4,4,0,0,0,0,0,0,5,3,3,0,2,0,2,0,0,0,0,0,1,0,0,4
CP #490 | Tree/Shrub Site Preparation  | (Acres),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP #345 | Residue and Tillage Mgmt (Reduced Till) (IRA) | (Acres),4,4,0,0,0,1,2,2,0,3,2,0,0,0,0,2,0,0,1,2,0,1,0,3,3,0,0,0,1,0,0,4,3,1,0,1,0,2,0,0,0,0,0,1,0,0,3
CP #666 | Forest Stand Improvement (IRA) | (Acres),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
