Conservation Practice,Definition,,,,,
CP #382 | Fence | (Feet),A constructed barrier to animals or people.,,,,,
CP #580 | Streambank and Shoreline Protection | (Feet),"Treatment(s) used to stabilize and protect banks of streams or constructed channels and shorelines of lakes, reservoirs, or estuaries.",,,,,
CP #561 | Heavy Use Area Protection | (Sq. Ft.),Stabilization or protection of an intensively used area.,,,,,
CP #516 | Livestock Pipeline | (Feet),A pipeline and appurtenances installed to convey water for livestock or wildlife.,,,,,
CP #528 | Prescribed Grazing (IRA) | (Acres),"Managing the harvest of vegetation with grazing and/or browsing animals with the intent to achieve specific ecological, economic, and management objectives.",,,,,
CP #340 | Cover Crop (IRA) | (Acres),"Grasses, legumes, and forbs planted for seasonal vegetative cover.",,,,,
CP #612 | Tree/Shrub Establishment (IRA) | (Acres),"Establishing woody plants by planting, direct seeding, or through natural regeneration.",,,,,
CP #314 | Brush Management | (Acres),The management or removal of woody (nonherbaceous or succulent) plants including those that are invasive and noxious.,,,,,
CP #356 | Dike and Levee | (Feet),"A barrier used to retain water on the landscape using a wetland dike; or, a barrier used to exclude water from the landscape and protect property and infrastructure from flooding using a flood control levee.",,,,,
CP #315 | Herbaceous Weed Treatment | (Acres),"The removal or control of herbaceous weeds including invasive, noxious, prohibited, or undesirable plants.",,,,,
CP #329 | Residue and Tillage Mgmt (No Till) (IRA) | (Acres),"Limiting soil disturbance to manage the amount, orientation and distribution of crop and plant residue on the soil surface year around.",,,,,
CP #490 | Tree/Shrub Site Preparation | (Acres),,,,,,
CP #345 | Residue and Tillage Mgmt (Reduced Till) (IRA) | (Acres),"Managing the amount, orientation, and distribution of crop and other plant residue on the soil surface year-round while limiting soil-disturbing activities used to grow and harvest crops in systems where the field surface is tilled prior to planting.",,,,,
CP #666 | Forest Stand Improvement (IRA) | (Acres),,,,,,
CP #362 | Diversion | (Feet),,,,,,
CP #338 | Prescribed Burning (IRA) | (Acres),,,,,,
CP #328 | Conservation Crop Rotation (IRA) | (Acres),"A planned sequence of crops grown on the same ground over a period of time (i.e. the rotation cycle).",,,,,
CP #468 | Lined waterway or outlet | (Feet),,,,,,
CP #420 | Wildlife Habitat Planting (IRA) | (Acres),Establishing wildlife habitat by planting herbaceous vegetation or shrubs,,,,,
CP #512 | Pasture and Hay Planting | (Acres),"Establishing adapted and compatible species, varieties, or cultivars of perennial herbaceous plants suitable for pasture or hay production.",,,,,
CP #342 | Critical Area Planting (IRA) | (Acres),"Establishing permanent vegetation on sites that have, or are expected to have, high erosion rates, and on sites that have physical, chemical, or biological conditions that prevent the establishment of vegetation with normal seeding/planting methods.",,,,,
CP #550 | Range planting (IRA) | (Acres),,,,,,
CP #442 | Sprinkler system | (Acres),,,,,,
CP #584 | Channel Bed Stabilization | (Feet),Measure(s) used to stabilize the bed or bottom of a channel.,,,,,
CP #327 | Conservation Cover (IRA) | (Acres),Establishing and maintaining permanent vegetative cover,,,,,
CP #472 | Access Control | (Acres),"The temporary or permanent exclusion of animals, people, vehicles, and equipment from an area.",,,,,
CP #657 | Wetland Restoration (IRA) | (Acres),The return of a wetland and its functions to a close approximation of its original condition as it existed prior to disturbance on a former or degraded wetland site.,,,,,
CP #614 | Watering Facility | (Num.),,,,,,
CP #391 | Riparian Forest Buffer (IRA) | (Acres),An area predominantly covered by trees and/or shrubs located adjacent to and up-gradient from a watercourse or water body.,,,,,
CP #590 | Nutrient Management (IRA) | (Acres),"Manage rate, source, placement, and timing of plant nutrients and soil amendments while reducing environmental impacts.",,,,,
CP #595 | Pest Management Conservation System | (Acres),,,,,,
CP #441 | Micro-irrigation | (Acres),,,,,,
CP #649 | Structures for Wildlife | (Num.),A structure installed to replace or modify a missing or deficient wildlife habitat component.,,,,,
CP #578 | Stream Crossing | (Num.),"A stabilized area or structure constructed across a stream to provide controlled access for people, livestock, equipment, or vehicles.",,,,,
CP #587 | Structure for Water Control | (Num.),"A structure in a water management system that conveys water, controls the direction or rate of flow, maintains a desired water surface elevation, or measures water.",,,,,
CP #395 | Stream Habitat Improvement and Management | (Acres),"Improve, restore, or maintain the ecological functions of a stream and its adjacent floodplain and riparian area.",,,,,
CP #410 | Grade Stabilization Structure | (Num.),A structure used to control the grade in natural or constructed channels.,,,,,
CP #554 | Drainage Water Management | (Acres),,,,,,
CP #390 | Riparian Herbaceous Cover (IRA) | (Acres),"Grasses, sedges, rushes, ferns, legumes, and forbs tolerant of intermittent flooding or saturated soils, established or managed as the dominant vegetation in the transitional zone between upland and aquatic habitats.",,,,,
CP #484 | Mulching (IRA) | (Acres),,,,,,
CP #396 | Aquatic Organism Passage | (Miles),Modification or removal of barriers that restrict or impede movement of aquatic organisms.,,,,,
CP #386 | Field Border (IRA) | (Acres),,,,,,
CP #574 | Spring Development | (Num.),,,,,,
CP #658 | Wetland Creation | (Acres),A wetland created on a site location that was historically not a wetland.,,,,,
