,conservation_practice,concern,value
0,Fence,Terrestrial Habitat for Wildlife and Invertebrates,1
1,Streambank and Shoreline Protection,Terrestrial Habitat for Wildlife and Invertebrates,2
2,Heavy Use Area Protection,Terrestrial Habitat for Wildlife and Invertebrates,0
3,Prescribed Grazing (IRA),Terrestrial Habitat for Wildlife and Invertebrates,2
4,Cover Crop (IRA),Terrestrial Habitat for Wildlife and Invertebrates,1
5,Tree/Shrub Establishment (IRA),Terrestrial Habitat for Wildlife and Invertebrates,5
6,Brush Management,Terrestrial Habitat for Wildlife and Invertebrates,3
7,Dike and Levee,Terrestrial Habitat for Wildlife and Invertebrates,0
8,Herbaceous Weed Treatment,Terrestrial Habitat for Wildlife and Invertebrates,4
9,Residue and Tillage Mgmt (No Till) (IRA),Terrestrial Habitat for Wildlife and Invertebrates,1
10,Residue and Tillage Mgmt (Reduced Till) (IRA),Terrestrial Habitat for Wildlife and Invertebrates,1
11,Conservation Crop Rotation (IRA),Terrestrial Habitat for Wildlife and Invertebrates,1
12,Wildlife Habitat Planting (IRA),Terrestrial Habitat for Wildlife and Invertebrates,5
13,Pasture and Hay Planting,Terrestrial Habitat for Wildlife and Invertebrates,4
14,Critical Area Planting (IRA),Terrestrial Habitat for Wildlife and Invertebrates,2
15,Range planting (IRA),Terrestrial Habitat for Wildlife and Invertebrates,2
16,Channel Bed Stabilization,Terrestrial Habitat for Wildlife and Invertebrates,0
17,Conservation Cover (IRA),Terrestrial Habitat for Wildlife and Invertebrates,3
18,Access Control,Terrestrial Habitat for Wildlife and Invertebrates,4
19,Wetland Restoration (IRA),Terrestrial Habitat for Wildlife and Invertebrates,2
20,Watering Facility,Terrestrial Habitat for Wildlife and Invertebrates,2
21,Riparian Forest Buffer (IRA),Terrestrial Habitat for Wildlife and Invertebrates,5
22,Pest Management Conservation System,Terrestrial Habitat for Wildlife and Invertebrates,4
23,Structures for Wildlife,Terrestrial Habitat for Wildlife and Invertebrates,4
24,Structure for Water Control,Terrestrial Habitat for Wildlife and Invertebrates,0
25,Stream Habitat Improvement and Management,Terrestrial Habitat for Wildlife and Invertebrates,3
26,Grade Stabilization Structure,Terrestrial Habitat for Wildlife and Invertebrates,1
27,Riparian Herbaceous Cover (IRA),Terrestrial Habitat for Wildlife and Invertebrates,2
28,Aquatic Organism Passage,Terrestrial Habitat for Wildlife and Invertebrates,2
29,Wetland Creation,Terrestrial Habitat for Wildlife and Invertebrates,2
30,Wetland Enhancement,Terrestrial Habitat for Wildlife and Invertebrates,2
31,Wetland Wildlife Habitat Management,Terrestrial Habitat for Wildlife and Invertebrates,5
32,Shallow Water Development and Management,Terrestrial Habitat for Wildlife and Invertebrates,5
33,Restoration of Rare and Declining Habitats,Terrestrial Habitat for Wildlife and Invertebrates,5
34,Fence,Drifted Snow,0
35,Streambank and Shoreline Protection,Drifted Snow,0
36,Heavy Use Area Protection,Drifted Snow,0
37,Prescribed Grazing (IRA),Drifted Snow,0
38,Cover Crop (IRA),Drifted Snow,1
39,Tree/Shrub Establishment (IRA),Drifted Snow,1
40,Brush Management,Drifted Snow,0
41,Dike and Levee,Drifted Snow,0
42,Herbaceous Weed Treatment,Drifted Snow,0
43,Residue and Tillage Mgmt (No Till) (IRA),Drifted Snow,0
44,Residue and Tillage Mgmt (Reduced Till) (IRA),Drifted Snow,0
45,Conservation Crop Rotation (IRA),Drifted Snow,0
46,Wildlife Habitat Planting (IRA),Drifted Snow,0
47,Pasture and Hay Planting,Drifted Snow,0
48,Critical Area Planting (IRA),Drifted Snow,1
49,Range planting (IRA),Drifted Snow,1
50,Channel Bed Stabilization,Drifted Snow,0
51,Conservation Cover (IRA),Drifted Snow,1
52,Access Control,Drifted Snow,0
53,Wetland Restoration (IRA),Drifted Snow,0
54,Watering Facility,Drifted Snow,0
55,Riparian Forest Buffer (IRA),Drifted Snow,0
56,Pest Management Conservation System,Drifted Snow,0
57,Structures for Wildlife,Drifted Snow,0
58,Structure for Water Control,Drifted Snow,0
59,Stream Habitat Improvement and Management,Drifted Snow,0
60,Grade Stabilization Structure,Drifted Snow,0
61,Riparian Herbaceous Cover (IRA),Drifted Snow,0
62,Aquatic Organism Passage,Drifted Snow,0
63,Wetland Creation,Drifted Snow,0
64,Wetland Enhancement,Drifted Snow,0
65,Wetland Wildlife Habitat Management,Drifted Snow,0
66,Shallow Water Development and Management,Drifted Snow,0
67,Restoration of Rare and Declining Habitats,Drifted Snow,0
68,Fence,Sheet and Rill Erosion,1
69,Streambank and Shoreline Protection,Sheet and Rill Erosion,0
70,Heavy Use Area Protection,Sheet and Rill Erosion,2
71,Prescribed Grazing (IRA),Sheet and Rill Erosion,4
72,Cover Crop (IRA),Sheet and Rill Erosion,4
73,Tree/Shrub Establishment (IRA),Sheet and Rill Erosion,5
74,Brush Management,Sheet and Rill Erosion,3
75,Dike and Levee,Sheet and Rill Erosion,0
76,Herbaceous Weed Treatment,Sheet and Rill Erosion,4
77,Residue and Tillage Mgmt (No Till) (IRA),Sheet and Rill Erosion,5
78,Residue and Tillage Mgmt (Reduced Till) (IRA),Sheet and Rill Erosion,4
79,Conservation Crop Rotation (IRA),Sheet and Rill Erosion,4
80,Wildlife Habitat Planting (IRA),Sheet and Rill Erosion,2
81,Pasture and Hay Planting,Sheet and Rill Erosion,4
82,Critical Area Planting (IRA),Sheet and Rill Erosion,5
83,Range planting (IRA),Sheet and Rill Erosion,4
84,Channel Bed Stabilization,Sheet and Rill Erosion,0
85,Conservation Cover (IRA),Sheet and Rill Erosion,4
86,Access Control,Sheet and Rill Erosion,3
87,Wetland Restoration (IRA),Sheet and Rill Erosion,0
88,Watering Facility,Sheet and Rill Erosion,2
89,Riparian Forest Buffer (IRA),Sheet and Rill Erosion,3
90,Pest Management Conservation System,Sheet and Rill Erosion,2
91,Structures for Wildlife,Sheet and Rill Erosion,0
92,Structure for Water Control,Sheet and Rill Erosion,0
93,Stream Habitat Improvement and Management,Sheet and Rill Erosion,0
94,Grade Stabilization Structure,Sheet and Rill Erosion,0
95,Riparian Herbaceous Cover (IRA),Sheet and Rill Erosion,2
96,Aquatic Organism Passage,Sheet and Rill Erosion,0
97,Wetland Creation,Sheet and Rill Erosion,0
98,Wetland Enhancement,Sheet and Rill Erosion,0
99,Wetland Wildlife Habitat Management,Sheet and Rill Erosion,0
100,Shallow Water Development and Management,Sheet and Rill Erosion,0
101,Restoration of Rare and Declining Habitats,Sheet and Rill Erosion,2
